Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min)),N - Apple Exercise Time (min),N - Active Energy (kcal),N - VO2 Max (ml/(kg·min)),N - Heart Rate Variability (ms),N - Apple Stand Time (min),N - Sleep Analysis [Total] (hr),N - Sleep Analysis [Core] (hr),N - Sleep Analysis [Deep] (hr),N - Sleep Analysis [REM] (hr),N - Heart Rate [Min] (bpm),N - Respiratory Rate (count/min),Health Score
2025-04-12,462.08,9.0,16.0,116.0,,51.0,139.0,73.65,53.04,16.72,6.283333333333333,0.0,4.541666666666666,0.7333333333333334,1.0083333333333333,0.075,45.023186084070005,0.0,0.11249433261867255,0.5051840943010475,0.2551945885279218,0.2647058823529412,0.12957746478873228,0.7242496221118545,0.08187134502923984,0.0,0.3881234232485929,0.40612870275791646,0.3216558006153665
2025-04-13,474.37,11.0,13.0,95.0,,48.22,146.0,67.59,56.67,16.37,8.783333333333333,1.7833333333333334,4.758333333333334,0.8666666666666667,1.375,1.233333333333333,42.20114906476172,0.0,0.12478136530027997,0.07496173841160844,0.36530469863803205,0.16666666666666669,1.0,0.836536385229972,0.2690058479532166,0.2512474317581452,0.657869202406365,0.5491317671092947,0.3112439176853153
2025-04-14,1351.0,88.0,13.0,145.0,,49.0,171.0,96.44,72.64,16.55,6.208333333333333,0.0,3.5833333333333326,0.675,1.95,0.0333333333333333,41.6,1.0,1.0,0.0,0.8497285163951832,0.400093370681606,0.10289103039288339,0.22759663139710626,0.0,0.6562958614616968,0.5821851348728894,0.47558733401429987,0.42536464964748283
2025-04-15,619.87,16.0,16.0,84.0,,51.0,170.0,67.23,67.87,15.36,6.791666666666666,0.0,3.683333333333333,0.975,2.1333333333333333,0.1666666666666666,43.19900163540959,0.07267441860465115,0.27024623553411853,0.2270853572150513,0.7050383717050386,0.11531279178338004,0.3104521868050407,0.2794212912977759,0.42105263157894757,0.7854417375990612,0.3881234232485929,0.9617977528089893,0.40907154740644064
2025-04-16,607.71,26.0,16.0,78.0,,51.0,128.0,67.89,51.18,15.77,6.924999999999999,0.0,4.199999999999999,0.825,1.9,0.0583333333333333,43.29,0.21802325581395346,0.2580891714650912,0.2409581485811154,0.19877453210786541,0.08730158730158732,0.3578947368421051,0.5471820341179008,0.21052631578947373,0.6210742588787793,0.3881234232485929,0.7942798774259451,0.3396000425156804
2025-04-17,569.33,17.0,15.0,62.0,,50.0,133.0,64.4,72.41,16.23,6.95,0.0,4.666666666666667,0.7333333333333334,1.55,0.2916666666666667,42.260948297109735,0.08720930232558138,0.2197184379972237,0.08407819097587992,0.8427518427518428,0.012605042016806737,0.3667902149740551,0.7890304469876916,0.08187134502923984,0.3745230407983566,0.4851542790607411,0.6063329928498465,0.34225731064967335
2025-04-18,601.27,14.0,16.0,208.0,,47.0,129.0,73.77,64.48,16.12,6.858333333333334,0.0,3.7333333333333334,0.8833333333333333,2.2416666666666667,0.0416666666666666,49.29001194812843,0.04360465116279069,0.2516507263495866,1.0,0.6022082688749357,0.6942110177404295,0.3341734618235735,0.3053336212481107,0.29239766081871355,0.8617552098620492,0.7762468464971858,0.6512768130745654,0.6388161612232873
2025-04-19,556.22,16.0,11.0,183.0,,48.0,164.0,77.37,41.69,15.42,7.516666666666667,0.0,4.716666666666667,0.925,1.875,0.0916666666666666,46.12900215499201,0.07267441860465115,0.2066116032978036,0.6737668563121139,0.0,0.5774976657329599,0.5684210526315794,0.8149427769380263,0.3508771929824564,0.6034634575873206,0.6792159906850376,0.9372829417773241,0.5200224267674973
2025-04-20,367.74,2.0,10.0,89.0,,52.0,122.0,72.51,60.12,15.62,7.077201257861636,,4.225157232704403,0.9709119496855347,1.7668238993710677,0.12599582573275758,45.466319774516265,0.0,0.01817711022787994,0.5727402670136581,0.4699548032881366,0.13865546218487396,0.41205085528064156,0.5602196844073778,0.4153150171025051,0.5272607450808815,0.2910925674364447,0.8555669050051077,0.4220070333786301
2025-04-21,1944.0,120.0,15.0,214.0,31.17,44.66,173.0,100.47,68.49,15.7,6.608333333333333,0.0,3.9416666666666664,1.1083333333333334,1.5583333333333336,0.2083333333333333,41.93,1.0,1.0,0.03362479327557341,0.7238450571783904,0.7222222222222222,0.24521868050407716,0.4133016627078384,0.6081871345029245,0.3803933078955096,1.0,0.822880490296221,0.5482340501732819
